codigo_ibge_1;cidade;sup_bh;grupo_dma;mart_minas;grupo_bahamas;total_lojas
3100203;Abaeté;1;0;0;0;1
3101508;Além Paraíba;0;0;0;2;2
3101607;Alfenas;0;1;1;0;2
3101706;Almenara;0;1;0;0;1
3103504;Araguari;0;0;1;1;2
3103751;Araporã;0;0;1;0;1
3104007;Araxá;0;0;1;1;2
3104205;Arcos;1;0;0;0;1
3105608;Barbacena;6;1;1;2;10
3106200;Belo Horizonte;72;63;0;0;135
3106705;Betim;10;3;0;0;13
3107109;Boa Esperança;1;0;0;0;1
3107307;Bocaiúva;2;0;0;0;2
3107406;Bom Despacho;1;0;1;0;2
3109006;Brumadinho;1;0;0;0;1
3109402;Buritizeiro;1;0;0;0;1
3110004;Caeté;1;0;0;0;1
3111200;Campo Belo;0;0;1;0;1
3112307;Capelinha;2;0;0;0;2
3113206;Carandaí;1;1;0;0;2
3113404;Caratinga;0;1;0;0;1
3114204;Carmo do Cajuru;1;0;0;0;1
3114303;Carmo do Paranaíba;1;0;0;0;1
3115300;Cataguases;0;0;0;2;2
3117504;Conceição do Mato Dentro;2;0;0;0;2
3118007;Congonhas;2;1;1;0;4
3118304;Conselheiro Lafaiete;2;2;1;0;5
3118601;Contagem;26;8;3;0;37
3119401;Coronel Fabriciano;0;1;0;0;1
3120904;Curvelo;1;0;0;0;1
3122306;Divinópolis;3;0;2;0;5
3124104;Esmeraldas;6;0;0;0;6
3126109;Formiga;2;0;0;0;2
3127107;Frutal;0;0;0;1;1
3127701;Governador Valadares;0;3;1;0;4
3128006;Guanhães;0;1;0;0;1
3128709;Guaxupé;0;1;0;0;1
3129806;Ibirité;10;1;0;0;11
3130101;Igarapé;3;0;0;0;3
3131307;Ipatinga;0;1;0;0;1
3131703;Itabira;0;0;1;0;1
3131901;Itabirito;2;1;0;0;3
3132404;Itajubá;0;1;0;0;1
3133808;Itaúna;0;1;1;0;2
3134202;Ituiutaba;0;0;1;1;2
3135050;Jaíba;1;0;0;0;1
3135100;Janaúba;1;0;1;0;2
3135209;Januária;2;0;0;0;2
3136207;João Monlevade;0;2;1;0;3
3136306;João Pinheiro;1;0;1;0;2
3136652;Juatuba;1;0;0;0;1
3136702;Juiz de Fora;4;2;2;26;34
3137205;Lagoa da Prata;2;0;0;0;2
3137601;Lagoa Santa;6;1;0;0;7
3137809;Lambari;3;0;0;0;3
3138203;Lavras;1;0;1;0;2
3138401;Leopoldina;0;0;1;1;2
3140001;Mariana;2;0;0;0;2
3140159;Mário Campos;1;0;0;0;1
3140506;Martinho Campos;1;0;0;0;1
3140704;Mateus Leme;1;0;0;0;1
3141108;Matozinhos;1;1;0;0;2
3143104;Monte Carmelo;0;0;1;1;2
3143302;Montes Claros;11;0;1;0;12
3143906;Muriaé;1;0;0;3;4
3144300;Nanuque;0;2;0;0;2
3144805;Nova Lima;6;2;1;0;9
3145901;Ouro Branco;1;1;0;0;2
3146107;Ouro Preto;1;1;0;0;2
3147105;Pará de Minas;2;0;1;0;3
3147006;Paracatu;0;0;1;0;1
3147402;Paraopeba;1;0;0;0;1
3147907;Passos;0;0;1;0;1
3148004;Patos de Minas;0;0;2;1;3
3148103;Patrocínio;0;0;1;1;2
3149309;Pedro Leopoldo;5;1;0;0;6
3151206;Pirapora;3;0;0;0;3
3151404;Pitangui;1;0;0;0;1
3151503;Piumhi;1;0;0;0;1
3151800;Poços de Caldas;0;0;1;0;1
3152006;Pompéu;1;0;0;0;1
3152105;Ponte Nova;2;1;0;1;4
3152501;Pouso Alegre;1;0;1;0;2
3153608;Prudente de Morais;1;0;0;0;1
3154606;Ribeirão das Neves;8;6;0;0;14
3156700;Sabará;7;2;0;0;9
3157203;Santa Bárbara;1;0;0;0;1
3157807;Santa Luzia;8;3;0;0;11
3158953;Santana do Paraíso;0;0;1;0;1
3159001;Santana do Riacho;1;0;0;0;1
3160702;Santos Dumont;1;1;0;0;2
3161106;São Francisco;1;0;0;0;1
3162005;São Gonçalo do Sapucaí;1;0;0;0;1
3162500;São João del Rei;5;0;1;2;8
3162955;São José da Lapa;1;0;0;0;1
3165537;Sarzedo;2;0;0;0;2
3167103;Serro;1;0;0;0;1
3167202;Sete Lagoas;0;4;1;0;5
3168606;Teófilo Otoni;0;6;1;0;7
3169307;Três Corações;4;0;1;0;5
3169356;Três Marias;1;0;0;0;1
3169406;Três Pontas;2;0;1;0;3
3169901;Ubá;2;0;1;2;5
3170107;Uberaba;0;1;2;5;8
3170206;Uberlândia;0;1;4;10;15
3170404;Unaí;0;0;1;0;1
3170701;Varginha;1;1;1;0;3
3170800;Várzea da Palma;2;0;0;0;2
3171204;Vespasiano;5;2;0;0;7
3171303;Viçosa;0;1;0;2;3
3172004;Visconde do Rio Branco;0;0;0;1;1
;Total;281;135;51;66;533
