CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
1;1;45.543.915/0001-81;CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.;SP;74.751.000.000;721;N.D;2.107.971;95.667;N.D;35.461;781.367;N.D;5;N.D;N.D;2.924;103.676.838;
2;novo;06.057.223/0001-71;ASSAÍ ATACADISTA.;SP;39.400.000.000;184;N.D;809.000;50.000;N.D;48.702;788.000;N.D;6;N.D;N.D;4.397;214.130.435;
3;2;47.508.411/0001-56;GPA.;SP;31.063.000.000;873;N.D;1.194.223;55.750;N.D;26.011;557.184;N.D;5;N.D;N.D;1.368;35.581.901;
4;novo;03.995.515/0013-09;MATEUS SUPERMERCADO S.A.;MA;14.352.809.355;159;2.014;328.316;36.108;7.126.519;43.716;397.497;18;11;13;163;2.065;90.269.241;
5;3;39.346.861/0350-38;CENCOSUD BRASIL COMERCIAL LTDA.;SP;9.403.007.296;201;2.209;527.370;23.015;4.256.681;17.830;408.560;10;4;11;239;2.624;46.781.131;
Total  5 Maiores;;;;;168.969.816.651;2.138;4.223;4.966.880;260.540;40.011.797;34.019;648.537;62;5;2;1.176;2.323;79.031.720;
6;4;76.430.438/0001-71;IRMÃOS MUFFATO & CIA LTDA.;PR;9.039.115.092;67;1.696;233.318;15.352;5.329.667;38.742;588.791;9;7;25;138;3.482;134.912.166;
7;6;04.641.376/0001-36;SUPERMERCADOS BH COMÉRCIO DE ALIMENTOS S.A.;MG;8.971.116.513;226;2.657;289.981;23.700;3.376.408;30.937;378.528;9;8;12;109;1.283;39.695.206;
8;5;09.477.652/0001-96;SDB COMÉRCIO DE ALIMENTOS LTDA.;SP;8.786.460.790;72;1.392;214.170;10.700;6.312.113;41.026;821.165;8;5;19;154;2.975;122.034.178;
9;7;93.015.006/0001-13;COMPANHIA ZAFFARI COMÉRCIO E INDÚSTRIA.;RS;6.110.000.000;36;907;149.468;11.471;6.736.494;40.878;532.648;13;8;25;165;4.152;169.722.222;
10;8;01.928.075/0020-62;DMA DISTRIBUIDORA S.A.;MG;5.836.699.203;170;2.210;334.603;17.319;2.641.040;17.444;337.011;8;5;13;151;1.968;34.333.525;
Total  10 Maiores;;;;;207.713.208.249;2.709;13.085;6.188.420;339.082;15.874.147;33.565;612.575;26;5;5;473;2.284;76.675.234;
11;10;04.737.552/0011-00;MART MINAS DISTRIBUIÇÃO LTDA.;MG;4.594.721.323;40;792;205.659;6.707;5.801.416;22.341;685.064;8;3;20;260;5.141;114.868.033;
12;9;01.937.635/0001-82;SONDA SUPERMERCADO EXP. IMP. S.A.;SP;4.069.999.762;44;1.080;103.724;8.339;3.768.518;39.239;488.068;8;8;25;96;2.357;92.499.995;
13;11;71.322.150/0001-60;SAVEGNAGO SUPERMERCADOS LTDA.;SP;4.048.638.183;53;902;87.734;9.590;4.488.512;46.147;422.173;11;11;17;97;1.655;76.389.400;
14;12;05.054.671/0001-59;LÍDER COMÉRCIO E INDÚSTRIA LTDA.;PA;3.500.805.931;24;886;118.413;15.470;3.951.248;29.564;226.296;17;13;37;134;4.934;145.866.914;
